Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
34 2b,,Ammonia 2.0, 1.1829,mg N/L,0.622023,Tue Jun 13 15:37:04 2023,1,1
34 2b,,Nitrate 2,-0.0038,mg N/L,0.012585,Tue Jun 13 16:36:53 2023,1,1
49 2b,,Ammonia 2.0, 0.4918,mg N/L,0.295507,Tue Jun 13 15:38:43 2023,1,1
49 2b,,Nitrate 2, 0.0093,mg N/L,0.016012,Tue Jun 13 16:37:47 2023,1,1
54 2a,,Ammonia 2.0, 0.5839,mg N/L,0.339000,Tue Jun 13 15:41:24 2023,1,1
54 2a,,Nitrate 2,-0.0111,mg N/L,0.010690,Tue Jun 13 16:38:42 2023,1,1
59 1b,,Ammonia 2.0, 0.5003,mg N/L,0.299495,Tue Jun 13 15:45:14 2023,1,1
59 1b,,Nitrate 2, 0.0003,mg N/L,0.013666,Tue Jun 13 16:39:36 2023,1,1
34 1a,,Ammonia 2.0, 0.3557,mg N/L,0.231196,Tue Jun 13 15:49:02 2023,1,1
34 1a,,Nitrate 2, 0.0326,mg N/L,0.022130,Tue Jun 13 16:40:31 2023,1,1
C C V,,Ammonia 2.0, 1.0848,mg N/L,0.575706,Tue Jun 13 15:52:49 2023,1,1
C C V,,Nitrate 2, 0.9132,mg N/L,0.252775,Tue Jun 13 16:41:25 2023,1,1
C C B ,,Ammonia 2.0, 0.0952,mg N/L,0.108110,Tue Jun 13 15:56:35 2023,1,1
C C B ,,Nitrate 2,-0.0464,mg N/L,0.001441,Tue Jun 13 16:42:20 2023,1,1
